UIElement(text='', content_description='', class_name='android.widget.FrameLayout', bbox=BoundingBox(x_min=0, x_max=1080, y_min=0, y_max=2400), bbox_pixels=BoundingBox(x_min=0, x_max=1080, y_min=0, y_max=2400), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='')
UIElement(text='April 8 (Tue)', content_description='', class_name='android.widget.TextView', bbox=BoundingBox(x_min=159, x_max=444, y_min=1212, y_max=1357), bbox_pixels=BoundingBox(x_min=159, x_max=444, y_min=1212, y_max=1357), hint_text=None, is_checked=False, is_checkable=False, is_clickable=True, is_editable=None, is_enabled=True, is_focused=False, is_focusable=True, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_end_date')
UIElement(text='14:00', content_description='', class_name='android.widget.TextView', bbox=BoundingBox(x_min=864, x_max=1059, y_min=1212, y_max=1357), bbox_pixels=BoundingBox(x_min=864, x_max=1059, y_min=1212, y_max=1357), hint_text=None, is_checked=False, is_checkable=False, is_clickable=True, is_editable=None, is_enabled=True, is_focused=False, is_focusable=True, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_end_time')
UIElement(text='', content_description='', class_name='android.widget.ImageView', bbox=BoundingBox(x_min=0, x_max=1080, y_min=1378, y_max=1380), bbox_pixels=BoundingBox(x_min=0, x_max=1080, y_min=1378, y_max=1380), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_date_time_divider')
UIElement(text='', content_description='', class_name='android.widget.ImageView', bbox=BoundingBox(x_min=32, x_max=148, y_min=1401, y_max=1546), bbox_pixels=BoundingBox(x_min=32, x_max=148, y_min=1401, y_max=1546), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_reminder_image')
UIElement(text='10 minutes before', content_description='', class_name='android.widget.TextView', bbox=BoundingBox(x_min=159, x_max=1080, y_min=1401, y_max=1546), bbox_pixels=BoundingBox(x_min=159, x_max=1080, y_min=1401, y_max=1546), hint_text=None, is_checked=False, is_checkable=False, is_clickable=True, is_editable=None, is_enabled=True, is_focused=False, is_focusable=True, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_reminder_1')
UIElement(text='Add another reminder', content_description='', class_name='android.widget.TextView', bbox=BoundingBox(x_min=159, x_max=1080, y_min=1546, y_max=1691), bbox_pixels=BoundingBox(x_min=159, x_max=1080, y_min=1546, y_max=1691), hint_text=None, is_checked=False, is_checkable=False, is_clickable=True, is_editable=None, is_enabled=True, is_focused=False, is_focusable=True, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_reminder_2')
UIElement(text='', content_description='', class_name='android.widget.ImageView', bbox=BoundingBox(x_min=0, x_max=1080, y_min=1712, y_max=1714), bbox_pixels=BoundingBox(x_min=0, x_max=1080, y_min=1712, y_max=1714), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_reminder_divider')
UIElement(text='', content_description='', class_name='android.widget.ImageView', bbox=BoundingBox(x_min=32, x_max=148, y_min=1735, y_max=1860), bbox_pixels=BoundingBox(x_min=32, x_max=148, y_min=1735, y_max=1860), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_repetition_image')
UIElement(text='No repetition', content_description='', class_name='android.widget.TextView', bbox=BoundingBox(x_min=159, x_max=1080, y_min=1735, y_max=1860), bbox_pixels=BoundingBox(x_min=159, x_max=1080, y_min=1735, y_max=1860), hint_text=None, is_checked=False, is_checkable=False, is_clickable=True, is_editable=None, is_enabled=True, is_focused=False, is_focusable=True, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_repetition')
UIElement(text='', content_description='', class_name='android.widget.ImageView', bbox=BoundingBox(x_min=0, x_max=1080, y_min=1881, y_max=1883), bbox_pixels=BoundingBox(x_min=0, x_max=1080, y_min=1881, y_max=1883), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_repetition_divider')
UIElement(text='', content_description='', class_name='android.widget.ImageView', bbox=BoundingBox(x_min=0, x_max=1080, y_min=1883, y_max=1885), bbox_pixels=BoundingBox(x_min=0, x_max=1080, y_min=1883, y_max=1885), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_caldav_calendar_divider')
UIElement(text='', content_description='', class_name='android.widget.ImageView', bbox=BoundingBox(x_min=32, x_max=148, y_min=1906, y_max=2031), bbox_pixels=BoundingBox(x_min=32, x_max=148, y_min=1906, y_max=2031), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_type_image')
UIElement(text='', content_description='', class_name='android.widget.ImageView', bbox=BoundingBox(x_min=0, x_max=1080, y_min=2052, y_max=2054), bbox_pixels=BoundingBox(x_min=0, x_max=1080, y_min=2052, y_max=2054), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_type_divider')
UIElement(text='', content_description='', class_name='android.widget.RelativeLayout', bbox=BoundingBox(x_min=148, x_max=1080, y_min=1906, y_max=2031), bbox_pixels=BoundingBox(x_min=148, x_max=1080, y_min=1906, y_max=2031), hint_text=None, is_checked=False, is_checkable=False, is_clickable=True, is_editable=None, is_enabled=True, is_focused=False, is_focusable=True, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_type_holder')
UIElement(text='Regular event', content_description='', class_name='android.widget.TextView', bbox=BoundingBox(x_min=159, x_max=1059, y_min=1906, y_max=2031), bbox_pixels=BoundingBox(x_min=159, x_max=1059, y_min=1906, y_max=2031), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_type')
UIElement(text='', content_description='', class_name='android.widget.ImageView', bbox=BoundingBox(x_min=32, x_max=148, y_min=2075, y_max=2200), bbox_pixels=BoundingBox(x_min=32, x_max=148, y_min=2075, y_max=2200), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_color_image')
UIElement(text='', content_description='', class_name='android.widget.RelativeLayout', bbox=BoundingBox(x_min=148, x_max=1080, y_min=2075, y_max=2200), bbox_pixels=BoundingBox(x_min=148, x_max=1080, y_min=2075, y_max=2200), hint_text=None, is_checked=False, is_checkable=False, is_clickable=True, is_editable=None, is_enabled=True, is_focused=False, is_focusable=True, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_color_holder')
UIElement(text='Event color', content_description='', class_name='android.widget.TextView', bbox=BoundingBox(x_min=159, x_max=928, y_min=2075, y_max=2200), bbox_pixels=BoundingBox(x_min=159, x_max=928, y_min=2075, y_max=2200), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_color_text')
UIElement(text='', content_description='', class_name='android.widget.ImageView', bbox=BoundingBox(x_min=949, x_max=1038, y_min=2093, y_max=2182), bbox_pixels=BoundingBox(x_min=949, x_max=1038, y_min=2093, y_max=2182), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_color')
UIElement(text='', content_description='', class_name='android.widget.ImageView', bbox=BoundingBox(x_min=0, x_max=1080, y_min=2221, y_max=2223), bbox_pixels=BoundingBox(x_min=0, x_max=1080, y_min=2221, y_max=2223), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_color_divider')
UIElement(text='', content_description='', class_name='android.view.View', bbox=BoundingBox(x_min=0, x_max=1080, y_min=0, y_max=128), bbox_pixels=BoundingBox(x_min=0, x_max=1080, y_min=0, y_max=128), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='android:id/statusBarBackground')
UIElement(text='', content_description='', class_name='android.view.View', bbox=BoundingBox(x_min=0, x_max=1080, y_min=2337, y_max=2400), bbox_pixels=BoundingBox(x_min=0, x_max=1080, y_min=2337, y_max=2400), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='android:id/navigationBarBackground')
